index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,median_value,profit_value,status,week,month,year,season,road,house_number,city,county,state,season_median,sell_price,increase_percent)
165,9557200090,2014-11-12,399000.0,3,1,990,4250,1,0,0,4,7,840,150,1924,0,98136,47.5392,-122.39,990,4500,489950.0,119700.0,Buy,46,11,2014,fall,NA,NA,NA,King County,Washington,500000.0,518700.0,30.0
176,7715801040,2015-02-21,465000.0,3,2,1430,7125,1,0,0,4,7,1430,0,1984,0,98074,47.6256,-122.059,1570,8075,645000.0,139500.0,Buy,8,2,2015,winter,NA,NA,NA,King County,Washington,635625.0,604500.0,30.0
188,3578400780,2015-03-27,508800.0,3,2,1720,10098,1,0,0,4,8,1140,580,1981,0,98074,47.6231,-122.043,1840,10098,645000.0,152640.0,Buy,13,3,2015,winter,221st Avenue Northeast,15201,NA,King County,Washington,635625.0,661440.0,30.0
192,7504001080,2015-03-04,590000.0,4,2,2940,12600,1,0,0,4,8,1850,1090,1974,0,98074,47.6294,-122.062,2030,11770,645000.0,177000.0,Buy,10,3,2015,winter,Northeast 151st Court,20621,NA,King County,Washington,635625.0,767000.0,30.0
195,6600220150,2015-03-10,549950.0,4,2,2230,14694,1,0,0,4,7,1180,1050,1981,0,98074,47.6305,-122.034,1470,13458,645000.0,164985.0,Buy,11,3,2015,winter,Northeast 152nd Place,NA,NA,King County,Washington,635625.0,714935.0,30.0
215,8653600050,2015-02-25,572000.0,3,1,1850,22767,1,0,4,5,6,1850,0,1908,0,98074,47.6144,-122.067,2700,17906,645000.0,171600.0,Buy,9,2,2015,winter,Northeast 148th Street,NA,NA,King County,Washington,635625.0,743600.0,30.0
287,1525069058,2014-06-26,568000.0,4,1,2110,265716,1,0,0,4,8,2110,0,1979,0,98053,47.657,-122.026,2110,110597,635000.0,170400.0,Buy,26,6,2014,spring,Northeast 152nd Place,23516,NA,King County,Washington,652500.0,738400.0,30.0
294,8807600140,2015-04-24,405000.0,3,1,1280,11625,1,0,0,4,7,1280,0,1977,0,98053,47.6827,-122.059,1320,10875,635000.0,121500.0,Buy,17,4,2015,spring,NA,NA,NA,King County,Washington,652500.0,526500.0,30.0
337,9508850120,2014-06-27,602000.0,4,1,2420,37800,1,0,0,4,8,1880,540,1981,0,98053,47.6688,-122.024,2780,35532,635000.0,180600.0,Buy,26,6,2014,spring,Northeast 152nd Place,NA,NA,King County,Washington,652500.0,782600.0,30.0
360,7983200060,2015-04-24,230000.0,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,266500.0,69000.0,Buy,17,4,2015,spring,Northeast 150th Street,NA,NA,King County,Washington,279950.0,299000.0,30.0
371,2190601049,2015-04-29,212000.0,3,1,1010,10000,1,0,0,4,7,1010,0,1973,0,98003,47.2881,-122.294,2420,34637,266500.0,63600.0,Buy,18,4,2015,spring,Northeast 149th Street,3198,NA,King County,Washington,279950.0,275600.0,30.0
380,5151600480,2015-04-02,248000.0,3,1,1840,19501,1,0,0,4,8,1270,570,1972,0,98003,47.3364,-122.318,1910,12000,266500.0,74400.0,Buy,14,4,2015,spring,10th Avenue Northeast,NA,NA,King County,Washington,279950.0,322400.0,30.0
388,7941600220,2014-06-10,219900.0,3,1,970,7742,1,0,0,4,6,970,0,1967,0,98003,47.3173,-122.327,970,7650,266500.0,65970.0,Buy,24,6,2014,spring,I 5,NA,NA,King County,Washington,279950.0,285870.0,30.0
399,7941600390,2014-06-23,225000.0,3,1,1580,8820,1,0,0,4,7,1580,0,1967,0,98003,47.317,-122.325,1280,8500,266500.0,67500.0,Buy,26,6,2014,spring,Northeast 151st Street,363,NA,King County,Washington,279950.0,292500.0,30.0
402,537000416,2015-04-29,250000.0,3,2,1680,7900,2,0,0,4,7,1680,0,1953,0,98003,47.3255,-122.305,1250,15600,266500.0,75000.0,Buy,18,4,2015,spring,Northeast 150th Street,NA,NA,King County,Washington,279950.0,325000.0,30.0
403,103400160,2014-05-15,263000.0,3,2,1590,7748,2,0,0,4,7,1590,0,1991,0,98003,47.2857,-122.3,1590,7606,266500.0,78900.0,Buy,20,5,2014,spring,Northeast 150th Street,2646,NA,King County,Washington,279950.0,341900.0,30.0
406,7682200320,2015-04-09,197400.0,3,2,1610,7575,1,0,0,4,7,1110,500,1965,0,98003,47.334,-122.3,1920,8400,266500.0,59220.0,Buy,15,4,2015,spring,Northeast 150th Street,2646,NA,King County,Washington,279950.0,256620.0,30.0
418,7683800010,2015-04-21,205000.0,3,1,1300,9880,1,0,0,4,7,1300,0,1959,0,98003,47.3352,-122.297,2140,9600,266500.0,61500.0,Buy,17,4,2015,spring,30th Avenue Northeast,14901,NA,King County,Washington,279950.0,266500.0,30.0
420,7984400005,2014-06-26,253500.0,3,1,1640,12384,1,0,0,4,7,1090,550,1954,0,98003,47.3256,-122.298,1550,11200,266500.0,76050.0,Buy,26,6,2014,spring,Northeast 150th Street,2798,NA,King County,Washington,279950.0,329550.0,30.0
431,3584000180,2014-05-28,253400.0,3,2,1400,8640,1,0,0,5,7,1400,0,1968,0,98003,47.3182,-122.319,1270,9375,266500.0,76020.0,Buy,22,5,2014,spring,Northeast 151st Street,949,NA,King County,Washington,279950.0,329420.0,30.0
445,1697000370,2015-03-25,234000.0,3,1,1040,8122,1,0,0,5,7,1040,0,1971,0,98198,47.3731,-122.312,1470,8676,265000.0,70200.0,Buy,13,3,2015,winter,Northeast 152nd Street,NA,NA,King County,Washington,279500.0,304200.0,30.0
448,7888200240,2015-03-19,265000.0,4,1,1240,8158,1,0,0,4,7,1110,130,1961,0,98198,47.3716,-122.31,1520,8147,265000.0,79500.0,Buy,12,3,2015,winter,Northeast 150th Street,NA,NA,King County,Washington,279500.0,344500.0,30.0
450,3530530110,2015-02-17,149900.0,2,1,1090,1950,1,0,0,4,8,1090,0,1982,0,98198,47.3782,-122.319,1360,3426,265000.0,44970.0,Buy,8,2,2015,winter,Northeast 151st Street,949,NA,King County,Washington,279500.0,194870.0,30.0
456,7686203275,2015-02-27,140000.0,3,1,1240,8000,1,0,0,4,6,1040,200,1954,0,98198,47.4204,-122.316,1240,8000,265000.0,42000.0,Buy,9,2,2015,winter,12th Avenue Northeast,14849,NA,King County,Washington,279500.0,182000.0,30.0
463,2946000285,2015-03-02,200000.0,3,2,1170,10051,1,0,0,4,7,1170,0,1957,0,98198,47.4229,-122.324,1440,9800,265000.0,60000.0,Buy,10,3,2015,winter,Northeast 151st Street,475,NA,King County,Washington,279500.0,260000.0,30.0
468,7686203195,2015-03-23,249950.0,3,1,1450,6875,1,0,0,4,7,1450,0,1961,0,98198,47.4205,-122.316,1270,8000,265000.0,74985.0,Buy,13,3,2015,winter,12th Avenue Northeast,14849,NA,King County,Washington,279500.0,324935.0,30.0
477,7686203385,2015-03-26,204000.0,3,1,980,8000,1,0,0,4,6,980,0,1954,0,98198,47.42,-122.317,1240,8000,265000.0,61200.0,Buy,13,3,2015,winter,11th Avenue Northeast,15129,NA,King County,Washington,279500.0,265200.0,30.0
481,7686204675,2015-01-29,248000.0,4,1,1010,7515,1,0,0,4,6,1010,0,1955,0,98198,47.4174,-122.316,1330,7515,265000.0,74400.0,Buy,5,1,2015,winter,12th Avenue Northeast,14849,NA,King County,Washington,279500.0,322400.0,30.0
486,3530410020,2015-01-14,265000.0,2,1,1090,3272,1,0,0,5,8,1090,0,1970,0,98198,47.3794,-122.32,1160,5475,265000.0,79500.0,Buy,3,1,2015,winter,Northeast 151st Street,863,NA,King County,Washington,279500.0,344500.0,30.0
495,9456200405,2015-03-10,205950.0,3,1,970,11963,1,0,0,4,6,970,0,1970,0,98198,47.3776,-122.315,1210,11963,265000.0,61785.0,Buy,11,3,2015,winter,12th Avenue Northeast,14849,NA,King County,Washington,279500.0,267735.0,30.0
507,84000335,2014-06-26,225000.0,3,2,1700,11475,1,0,0,5,6,970,730,1945,0,98146,47.4851,-122.338,1560,11475,309000.0,67500.0,Buy,26,6,2014,spring,North 150th Street,1648,NA,King County,Washington,335000.0,292500.0,30.0
523,123039420,2015-04-28,309000.0,3,1,1300,7200,1,0,0,4,7,1300,0,1952,0,98146,47.5063,-122.369,1740,7100,309000.0,92700.0,Buy,18,4,2015,spring,Olympic Drive,29,NA,King County,Washington,335000.0,401700.0,30.0
526,6341000221,2015-04-23,287000.0,4,2,1340,8190,1,0,0,4,7,1340,0,1942,0,98146,47.4905,-122.343,1410,9721,309000.0,86100.0,Buy,17,4,2015,spring,Stone Lane North,15183,NA,King County,Washington,335000.0,373100.0,30.0
532,7454001060,2015-04-08,295000.0,2,1,670,7952,1,0,0,4,6,670,0,1942,0,98146,47.5124,-122.372,1080,9525,309000.0,88500.0,Buy,15,4,2015,spring,Spring Drive,6,NA,King County,Washington,335000.0,383500.0,30.0
543,8103000110,2014-06-03,280000.0,2,1,1480,15641,1,0,0,4,7,1480,0,1940,0,98146,47.5008,-122.366,1520,7525,309000.0,84000.0,Buy,23,6,2014,spring,Northwest 145th Street,NA,NA,King County,Washington,335000.0,364000.0,30.0
554,7211401485,2014-06-06,285000.0,2,1,780,5000,1,0,0,4,6,780,0,1943,0,98146,47.5112,-122.357,1030,5000,309000.0,85500.0,Buy,23,6,2014,spring,Northwest 145th Street,NA,NA,King County,Washington,335000.0,370500.0,30.0
583,7907600100,2015-04-21,287500.0,4,2,1220,9147,1,0,0,5,7,1220,0,1953,0,98146,47.5011,-122.336,1220,8576,309000.0,86250.0,Buy,17,4,2015,spring,NA,NA,NA,King County,Washington,335000.0,373750.0,30.0
593,2525300030,2015-02-22,232000.0,3,1,1400,10403,1,0,0,4,6,1400,0,1976,0,98038,47.362,-122.029,1230,10209,342000.0,69600.0,Buy,8,2,2015,winter,232nd Avenue Northeast,15205,NA,King County,Washington,338975.0,301600.0,30.0
596,2310000240,2015-03-13,275000.0,3,2,1420,8549,2,0,0,4,7,1420,0,1989,0,98038,47.3576,-122.039,1560,7471,342000.0,82500.0,Buy,11,3,2015,winter,225th Avenue Northeast,NA,NA,King County,Washington,338975.0,357500.0,30.0
603,1545807990,2015-02-17,315000.0,3,1,1890,10661,1,0,0,5,7,1460,430,1978,0,98038,47.3583,-122.056,1680,9604,342000.0,94500.0,Buy,8,2,2015,winter,210th Avenue Northeast,15176,NA,King County,Washington,338975.0,409500.0,30.0
611,2525300480,2015-03-04,224975.0,3,1,960,12745,1,0,0,4,6,960,0,1977,0,98038,47.3617,-122.03,1160,10488,342000.0,67492.5,Buy,10,3,2015,winter,Northeast 152nd Place,22909,NA,King County,Washington,338975.0,292467.5,30.0
613,2025700130,2015-01-29,269950.0,3,2,1510,6000,1,0,0,4,7,1150,360,1993,0,98038,47.3484,-122.036,1510,6000,342000.0,80985.0,Buy,5,1,2015,winter,227th Avenue Northeast,15267,NA,King County,Washington,338975.0,350935.0,30.0
628,1545803340,2015-02-24,269000.0,3,1,1530,7930,1,0,0,5,7,1530,0,1986,0,98038,47.3609,-122.05,1610,7930,342000.0,80700.0,Buy,9,2,2015,winter,Northeast 151st Street,21556,NA,King County,Washington,338975.0,349700.0,30.0
630,2525310040,2015-01-29,206000.0,3,1,1060,10350,1,0,0,4,7,1060,0,1980,0,98038,47.365,-122.028,1500,9660,342000.0,61800.0,Buy,5,1,2015,winter,Northeast 152nd Place,23356,NA,King County,Washington,338975.0,267800.0,30.0
632,1545803520,2015-01-26,251000.0,3,2,1650,7930,1,0,0,4,7,1650,0,1989,0,98038,47.3617,-122.05,1510,7930,342000.0,75300.0,Buy,5,1,2015,winter,Northeast 151st Street,21556,NA,King County,Washington,338975.0,326300.0,30.0
655,2025700200,2015-02-20,265000.0,3,1,1450,5858,1,0,0,4,7,1450,0,1991,0,98038,47.3482,-122.037,1520,6573,342000.0,79500.0,Buy,8,2,2015,winter,225th Avenue Northeast,15040,NA,King County,Washington,338975.0,344500.0,30.0
658,2025700270,2015-01-22,260250.0,3,1,1490,8357,1,0,0,4,7,1490,0,1993,0,98038,47.3473,-122.037,1490,7376,342000.0,78075.0,Buy,4,1,2015,winter,225th Avenue Northeast,15040,NA,King County,Washington,338975.0,338325.0,30.0
662,1022069050,2015-02-27,207000.0,3,1,1180,21275,1,0,0,4,6,1180,0,1958,0,98038,47.4018,-122.037,1490,35100,342000.0,62100.0,Buy,9,2,2015,winter,225th Avenue Northeast,15040,NA,King County,Washington,338975.0,269100.0,30.0
691,2025701080,2015-03-18,305000.0,3,2,1370,6600,2,0,0,4,7,1370,0,1993,0,98038,47.3504,-122.035,1370,6600,342000.0,91500.0,Buy,12,3,2015,winter,227th Avenue Northeast,15244,NA,King County,Washington,338975.0,396500.0,30.0
693,1545808960,2015-01-06,237500.0,3,2,1350,8960,1,0,0,4,7,1350,0,1986,0,98038,47.3614,-122.045,1470,8288,342000.0,71250.0,Buy,2,1,2015,winter,Northeast 154th Street,NA,NA,King County,Washington,338975.0,308750.0,30.0
715,2207100405,2015-05-06,423000.0,4,1,1730,7245,1,0,0,4,7,880,850,1955,0,98007,47.5995,-122.144,1550,7245,555000.0,126900.0,Buy,19,5,2015,spring,Tolt Pipeline Trail,NA,NA,King County,Washington,580000.0,549900.0,30.0
721,2207200675,2014-05-02,419000.0,3,1,1570,6700,1,0,0,4,7,1570,0,1956,0,98007,47.6022,-122.134,1570,7300,555000.0,125700.0,Buy,18,5,2014,spring,Northeast 153rd Street,15435,NA,King County,Washington,580000.0,544700.0,30.0
724,6751300255,2014-06-16,470000.0,3,1,1510,8000,1,0,0,4,7,1510,0,1956,0,98007,47.5865,-122.135,1430,8000,555000.0,141000.0,Buy,25,6,2014,spring,Northeast 153rd Street,15345,NA,King County,Washington,580000.0,611000.0,30.0
732,2207100650,2015-04-10,499990.0,3,1,1630,8400,1,0,0,4,7,1060,570,1955,0,98007,47.5983,-122.149,1630,7245,555000.0,149997.0,Buy,15,4,2015,spring,Sammamish River Trail,NA,NA,King County,Washington,580000.0,649987.0,30.0
733,7923300310,2014-05-27,495000.0,4,2,1940,9144,1,0,0,4,7,1430,510,1956,0,98007,47.5942,-122.135,1460,9437,555000.0,148500.0,Buy,22,5,2014,spring,Northeast 153rd Street,15345,NA,King County,Washington,580000.0,643500.0,30.0
735,7923700030,2015-04-14,490000.0,3,1,1420,11040,1,0,0,4,7,1420,0,1961,0,98007,47.5969,-122.14,1530,8208,555000.0,147000.0,Buy,16,4,2015,spring,149th Avenue Northeast,NA,NA,King County,Washington,580000.0,637000.0,30.0
736,4305200070,2014-05-19,350000.0,3,2,1640,7200,2,0,0,4,8,1640,0,1985,0,98007,47.5948,-122.153,1830,8372,555000.0,105000.0,Buy,21,5,2014,spring,Woodinville Valley Trail,NA,NA,King County,Washington,580000.0,455000.0,30.0
741,6751300065,2014-05-06,518000.0,3,1,1430,8000,1,0,0,4,7,1430,0,1956,0,98007,47.5874,-122.136,1450,8000,555000.0,155400.0,Buy,19,5,2014,spring,Northeast 153rd Street,15255,NA,King County,Washington,580000.0,673400.0,30.0
744,7923300230,2015-05-04,479000.0,3,1,1480,10094,1,0,0,4,7,1480,0,1956,0,98007,47.5942,-122.136,1430,10083,555000.0,143700.0,Buy,19,5,2015,spring,Northeast 153rd Street,15255,NA,King County,Washington,580000.0,622700.0,30.0
746,2207200635,2014-06-02,439800.0,3,1,1120,6900,1,0,0,5,7,1120,0,1956,0,98007,47.6023,-122.132,1300,7000,555000.0,131940.0,Buy,23,6,2014,spring,155th Avenue Northeast,15294,NA,King County,Washington,580000.0,571740.0,30.0
751,8838900167,2014-05-09,542500.0,4,2,2330,14289,2,0,0,4,8,2330,0,1978,0,98007,47.5916,-122.148,2210,12823,555000.0,162750.0,Buy,19,5,2014,spring,Tolt Pipeline Trail,NA,NA,King County,Washington,580000.0,705250.0,30.0
755,4039400430,2014-05-16,330000.0,3,1,1170,4950,1,0,0,4,7,1170,0,1960,0,98007,47.6057,-122.135,1570,7700,555000.0,99000.0,Buy,20,5,2014,spring,Northeast 153rd Street,15345,NA,King County,Washington,580000.0,429000.0,30.0
756,2207100165,2015-04-30,475000.0,4,1,1580,10260,1,0,0,4,7,1030,550,1955,0,98007,47.5984,-122.147,1520,7000,555000.0,142500.0,Buy,18,4,2015,spring,Tolt Pipeline Trail,NA,NA,King County,Washington,580000.0,617500.0,30.0
757,4039300490,2014-06-03,400000.0,3,1,1200,4800,1,0,0,4,7,1200,0,1962,0,98007,47.6084,-122.136,1510,7668,555000.0,120000.0,Buy,23,6,2014,spring,Northeast 153rd Street,15255,NA,King County,Washington,580000.0,520000.0,30.0
759,1944900090,2014-05-19,462000.0,5,1,1250,10530,1,0,0,4,7,1250,0,1966,0,98007,47.6101,-122.138,1560,8190,555000.0,138600.0,Buy,21,5,2014,spring,NA,NA,NA,King County,Washington,580000.0,600600.0,30.0
761,7923700330,2014-05-28,510000.0,4,1,2040,8800,1,0,0,4,7,1020,1020,1961,0,98007,47.5965,-122.139,1490,8800,555000.0,153000.0,Buy,22,5,2014,spring,NA,NA,NA,King County,Washington,580000.0,663000.0,30.0
763,9212900260,2014-05-27,468000.0,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,564750.0,140400.0,Buy,22,5,2014,spring,Bothell Way Northeast,14801,NA,King County,Washington,588000.0,608400.0,30.0
766,9215400105,2015-04-28,450000.0,3,1,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,564750.0,135000.0,Buy,18,4,2015,spring,26th Avenue Northeast,15067,NA,King County,Washington,588000.0,585000.0,30.0
771,2710600045,2014-06-16,460000.0,3,1,1550,4708,1,0,0,4,7,860,690,1949,0,98115,47.6759,-122.286,1880,5600,564750.0,138000.0,Buy,25,6,2014,spring,Burke-Gilman Trail,NA,NA,King County,Washington,588000.0,598000.0,30.0
773,3188100400,2014-06-03,530000.0,3,1,1250,6041,1,0,0,5,7,1250,0,1942,0,98115,47.69,-122.304,1180,6042,564750.0,159000.0,Buy,23,6,2014,spring,Northeast 150th Street,NA,NA,King County,Washington,588000.0,689000.0,30.0
780,8815400105,2014-06-03,500000.0,3,1,1620,4200,1,0,0,5,7,830,790,1945,0,98115,47.6743,-122.285,1580,5000,564750.0,150000.0,Buy,23,6,2014,spring,Burke-Gilman Trail,NA,NA,King County,Washington,588000.0,650000.0,30.0
791,2464400340,2014-06-25,381500.0,2,1,900,2910,1,0,0,5,7,900,0,1924,0,98115,47.6859,-122.322,1320,2910,564750.0,114450.0,Buy,26,6,2014,spring,6th Avenue Northeast,15038,NA,King County,Washington,588000.0,495950.0,30.0
793,7920100025,2015-04-27,450000.0,2,1,740,5100,1,0,0,4,7,740,0,1947,0,98115,47.6787,-122.301,920,5100,564750.0,135000.0,Buy,18,4,2015,spring,26th Avenue Northeast,15067,NA,King County,Washington,588000.0,585000.0,30.0
816,442000015,2014-06-12,445000.0,3,1,1050,5664,1,0,0,4,7,910,140,1947,0,98115,47.6897,-122.285,1500,5664,564750.0,133500.0,Buy,24,6,2014,spring,Burke-Gilman Trail,NA,NA,King County,Washington,588000.0,578500.0,30.0
817,5101404563,2014-06-27,561500.0,3,1,1960,6380,1,0,0,4,7,980,980,1939,0,98115,47.6975,-122.316,1480,6380,564750.0,168450.0,Buy,26,6,2014,spring,12th Avenue Northeast,14849,NA,King County,Washington,588000.0,729950.0,30.0
820,6844702690,2015-04-27,476500.0,3,1,1200,6120,1,0,0,4,7,950,250,1945,0,98115,47.6929,-122.287,1550,6120,564750.0,142950.0,Buy,18,4,2015,spring,Northeast 151st Street,3875,NA,King County,Washington,588000.0,619450.0,30.0
826,6820100010,2014-06-16,415000.0,4,2,1800,2970,1,0,0,4,7,1000,800,1923,0,98115,47.6833,-122.312,1690,3801,564750.0,124500.0,Buy,25,6,2014,spring,Northeast 152nd Street,NA,NA,King County,Washington,588000.0,539500.0,30.0
836,1868901815,2014-06-17,547000.0,4,1,1720,2800,1,0,0,4,7,1200,520,1926,0,98115,47.6743,-122.299,1530,3500,564750.0,164100.0,Buy,25,6,2014,spring,27th Avenue Northeast,15056,NA,King County,Washington,588000.0,711100.0,30.0
840,6914700130,2014-06-15,520500.0,3,2,1900,8100,1,0,0,4,7,950,950,1940,0,98115,47.6997,-122.319,1400,6380,564750.0,156150.0,Buy,24,6,2014,spring,Northeast 151st Street,949,NA,King County,Washington,588000.0,676650.0,30.0
843,3423600065,2014-06-04,540000.0,3,1,1050,4160,1,0,0,4,7,1050,0,1925,0,98115,47.6756,-122.3,1580,3680,564750.0,162000.0,Buy,23,6,2014,spring,Northeast 150th Street,2646,NA,King County,Washington,588000.0,702000.0,30.0
848,5282200015,2014-05-27,525000.0,5,3,2750,3800,1,0,0,5,7,1750,1000,1926,0,98115,47.6845,-122.313,1900,3800,564750.0,157500.0,Buy,22,5,2014,spring,15th Avenue Northeast,NA,NA,King County,Washington,588000.0,682500.0,30.0
853,2979800845,2014-05-24,501000.0,2,1,1010,4320,1,0,0,5,7,1010,0,1924,0,98115,47.6846,-122.317,1680,4320,564750.0,150300.0,Buy,21,5,2014,spring,11th Avenue Northeast,15129,NA,King County,Washington,588000.0,651300.0,30.0
857,1995200200,2014-05-06,313950.0,3,1,1510,6083,1,0,0,4,6,860,650,1940,0,98115,47.6966,-122.324,1510,5712,564750.0,94185.0,Buy,19,5,2014,spring,Northeast 151st Street,475,NA,King County,Washington,588000.0,408135.0,30.0
858,3735901600,2014-06-06,435000.0,2,1,1260,4080,1,0,0,5,7,1260,0,1926,0,98115,47.687,-122.32,1720,4080,564750.0,130500.0,Buy,23,6,2014,spring,Northeast 151st Street,863,NA,King County,Washington,588000.0,565500.0,30.0
862,5101402435,2014-06-03,312000.0,3,2,1540,5338,1,0,0,5,7,770,770,1954,0,98115,47.6942,-122.304,1680,6525,564750.0,93600.0,Buy,23,6,2014,spring,Northeast 150th Street,NA,NA,King County,Washington,588000.0,405600.0,30.0
871,6844700975,2015-04-14,529100.0,2,1,1290,6528,1,0,0,4,7,1290,0,1941,0,98115,47.694,-122.29,1670,5712,564750.0,158730.0,Buy,16,4,2015,spring,Bothell Way Northeast,15020,NA,King County,Washington,588000.0,687830.0,30.0
884,2887700995,2014-05-08,530000.0,4,2,2280,2850,1,0,0,4,7,1540,740,1930,0,98115,47.6871,-122.307,1680,3800,564750.0,159000.0,Buy,19,5,2014,spring,Northeast 150th Street,NA,NA,King County,Washington,588000.0,689000.0,30.0
885,1566100450,2015-04-28,505000.0,3,2,1110,8375,1,0,0,5,7,1110,0,1951,0,98115,47.6978,-122.297,1410,7734,564750.0,151500.0,Buy,18,4,2015,spring,30th Avenue Northeast,14901,NA,King County,Washington,588000.0,656500.0,30.0
903,5652601155,2015-04-15,564000.0,4,1,1960,6138,1,0,0,4,7,1260,700,1960,0,98115,47.6968,-122.299,2000,7057,564750.0,169200.0,Buy,16,4,2015,spring,27th Avenue Northeast,15056,NA,King County,Washington,588000.0,733200.0,30.0
913,3543900380,2015-04-09,395000.0,3,1,1460,5000,1,0,0,4,7,1460,0,1934,1960,98115,47.6837,-122.32,1790,4000,564750.0,118500.0,Buy,15,4,2015,spring,Northeast 151st Street,863,NA,King County,Washington,588000.0,513500.0,30.0
917,1868900285,2014-05-23,552000.0,3,1,1430,5000,1,0,0,4,6,1080,350,1919,0,98115,47.6724,-122.296,1630,4600,564750.0,165600.0,Buy,21,5,2014,spring,Northeast 149th Street,3010,NA,King County,Washington,588000.0,717600.0,30.0
919,6392003810,2014-05-23,530000.0,4,1,1814,5000,1,0,0,4,7,944,870,1951,0,98115,47.684,-122.281,1290,5000,564750.0,159000.0,Buy,21,5,2014,spring,Beach Drive Northeast,NA,NA,King County,Washington,588000.0,689000.0,30.0
